id,verifiable,label,claim,evidence
82668,VERIFIABLE,REFUTES,Bruce Springsteen married Patti Scialfa in 1999.,"['He married Patti Scialfa in 1991 , and the couple have had three children -- Evan James , Jessica Rae and Sam Ryan .']"
71507,VERIFIABLE,SUPPORTS,Nikita is based on a Luc Besson film.,['The series is a reboot of the popular 1997 TV series La Femme Nikita -LRB- itself based on the 1990 Luc Besson film Nikita -RRB- .']
62454,VERIFIABLE,SUPPORTS,Google's founders were students in California.,"['Google was founded in 1998 by Larry Page and Sergey Brin while they were Ph.D. students at Stanford University , in California .']"
62552,NOT VERIFIABLE,NOT ENOUGH INFO,Sigmund Freud worked in Innsbruck.,[]
179140,VERIFIABLE,SUPPORTS,Florida is a peninsula.,"['A peninsula between the Gulf of Mexico , the Atlantic Ocean , and the Straits of Florida , it has the longest coastline in the contiguous United States , approximately 1350 mi , and is the only state that borders both the Gulf of Mexico and the Atlantic Ocean .', 'A peninsula between the Gulf of Mexico , the Atlantic Ocean , and the Straits of Florida , it has the longest coastline in the contiguous United States , approximately 1350 mi , and is the only state that borders both the Gulf of Mexico and the Atlantic Ocean .']"
155816,VERIFIABLE,REFUTES,One by One (Foo Fighters album) was released by nobody.,"['One by One is the fourth studio album by American rock band Foo Fighters , released on October 22 , 2002 by RCA .']"
53797,VERIFIABLE,REFUTES,Shawn Michaels is the first WWF Triple Crown Champion.,"['He is also a two-time Royal Rumble winner , the first WWF Grand Slam Champion and the fourth WWF Triple Crown Champion , as well as a 2011 WWE Hall of Fame inductee .']"
174199,VERIFIABLE,SUPPORTS,Priyanka Chopra is a singer.,"['Priyanka Chopra -LRB- -LSB- prɪˈjaːŋkaː ˈtʃoːpɽaː -RSB- ; born 18 July 1982 -RRB- is an Indian actress , singer , film producer , philanthropist , and the winner of the Miss World 2000 pageant .']"
147741,VERIFIABLE,SUPPORTS,The Les Misérables film adaption by Tom Hooper starred Anne Hathaway.,"[""The same year , she starred as Fantine in Tom Hooper 's Les Misérables , which earned her widespread acclaim and she won the Academy , Golden Globe , BAFTA , and SAG Awards for Best Supporting Actress .""]"
66039,VERIFIABLE,SUPPORTS,Unforgettable is authored by Christina Hodson and David Leslie Johnson.,['Unforgettable is a 2017 American erotic thriller film directed by Denise Di Novi -LRB- in her directorial debut -RRB- and written by Christina Hodson and David Leslie Johnson .']
14057,VERIFIABLE,SUPPORTS,The Wars of the Roses were a series of wars for control of the throne of England by rival houses.,"['The Wars of the Roses were a series of wars for control of the throne of England fought between supporters of two rival branches of the royal House of Plantagenet : the House of Lancaster -LRB- associated with a red rose -RRB- , and the House of York -LRB- whose symbol was a white rose -RRB- .']"
70787,VERIFIABLE,REFUTES,Marilyn Monroe died in Chicago.,"['On August 5 , 1962 , she died at age 36 from an overdose of barbiturates at her home in Los Angeles .']"
141191,VERIFIABLE,SUPPORTS,Saamy is an Indian Tamil film.,['Saamy is a 2003 Indian Tamil action film written and directed by Hari .']
192145,VERIFIABLE,REFUTES,Steve Mouzakis has yet to be in any Spike Jonze film.,"['He is known for his role in the Spike Jonze film Where the Wild Things Are , and as Steven Ray in The Suicide Theory .']"
112153,VERIFIABLE,REFUTES,"One World Trade Center's structure was completed on August 30, 2010.","[""The tower 's steel structure was topped out on August 30 , 2012 .""]"
2912,VERIFIABLE,SUPPORTS,Ben Kingsley was born Krishna Pandit Bhanji.,['Sir Ben Kingsley -LRB- born Krishna Pandit Bhanji ; 31 December 1943 -RRB- is an English actor with a career spanning over 40 years .']
57069,VERIFIABLE,REFUTES,Carrie Fisher wrote eggs.,"['Fisher wrote several semi-autobiographical novels , including Postcards from the Edge and the screenplay for the film of the book , as well as an autobiographical one-woman play , and its non-fiction book , Wishful Drinking , based on the play .']"
148081,VERIFIABLE,REFUTES,Buzz Aldrin was born in hell.,"['Buzz Aldrin -LRB- born Edwin Eugene Aldrin Jr. , January 20 , 1930 -RRB- is an American engineer and former astronaut .']"
64337,VERIFIABLE,SUPPORTS,Hannibal was a person involved in the Second Punic War.,"['One of his most famous achievements was at the outbreak of the Second Punic War , when he marched an army which included war elephants from Iberia over the Pyrenees and the Alps into Italy .', 'One of his most famous achievements was at the outbreak of the Second Punic War , when he marched an army which included war elephants from Iberia over the Pyrenees and the Alps into Italy .']"
100786,VERIFIABLE,SUPPORTS,The Billboard Hot 100 was topped by Mariah Carey.,"[""Carey and Boyz II Men spent a record sixteen weeks atop the Billboard Hot 100 in 1995 -- 96 with `` One Sweet Day , '' which remains the longest-running number-one song in US chart history .""]"
223717,VERIFIABLE,SUPPORTS,"Jared Leto is an American actor, singer, and director.","['Jared Joseph Leto -LRB- -LSB- ˈlɛtoʊ -RSB- born December 26 , 1971 -RRB- is an American actor , singer-songwriter , and director .', 'Jared Joseph Leto -LRB- -LSB- ˈlɛtoʊ -RSB- born December 26 , 1971 -RRB- is an American actor , singer-songwriter , and director .']"
171053,NOT VERIFIABLE,NOT ENOUGH INFO,Radioactive only received an honor from The Producing Academy.,[]
163004,VERIFIABLE,SUPPORTS,Trevor Berbick was born on the first day of a month.,"['Trevor Berbick -LRB- August 1 , 1954 -- October 28 , 2006 -RRB- was a Jamaican Canadian professional boxer who competed from 1976 to 2000 .']"
17279,VERIFIABLE,SUPPORTS,Timea Bacsinszky is a high-ranking professional tennis player.,['Timea Bacsinszky -LRB- born 8 June 1989 -RRB- is a Swiss professional tennis player who has reached a career-high ranking of No. 9 and won three singles and four doubles titles on the WTA Tour .']
126138,NOT VERIFIABLE,NOT ENOUGH INFO,Rey Mysterio completed the challenge.,[]
19449,VERIFIABLE,SUPPORTS,Kong: Skull Island stars an American actor.,"['It stars an ensemble cast consisting of Tom Hiddleston , Samuel L. Jackson , John Goodman , Brie Larson , Jing Tian , Toby Kebbell , John Ortiz , Corey Hawkins , Jason Mitchell , Shea Whigham , Thomas Mann , Terry Notary and John C. Reilly .']"
82717,VERIFIABLE,SUPPORTS,David Schwimmer acted in Duane Hopwood.,"['After the series finale of Friends in 2004 , Schwimmer was cast as the title character in the 2005 drama Duane Hopwood .']"
194040,VERIFIABLE,SUPPORTS,Duane Hopwood includes Dick Cavett.,"['Duane Hopwood is a 2005 film featured in the Sundance Film Festival starring David Schwimmer and Janeane Garofalo , with a supporting cast featuring Judah Friedlander , Dick Cavett , Susan Lynch , John Krasinski , Rachel Covey , and Mia Dillon .']"
212928,NOT VERIFIABLE,NOT ENOUGH INFO,Marlon Brando was in The Seventh Seal.,[]
180479,VERIFIABLE,SUPPORTS,La La La had Sam Smith on it.,"[""His subsequent feature -- on Naughty Boy 's `` La La La '' -- earned him his first number one single in May 2013 .""]"
29499,VERIFIABLE,SUPPORTS,American Horror Story stars Evan Peters.,"['The only actors to appear in all iterations of the show so far are Evan Peters , Sarah Paulson and Lily Rabe .', 'He is known for his multiple roles on the FX anthology series American Horror Story , of which he has been a main cast member since its debut in 2011 , and his role as the mutant Quicksilver in the superhero films X-Men : Days of Future Past -LRB- 2014 -RRB- and X-Men : Apocalypse -LRB- 2016 -RRB- .', 'Evan Thomas Peters -LRB- born January 20 , 1987 -RRB- is an American actor .', 'The second season , subtitled Asylum , takes place in Massachusetts during the year 1964 and follows the stories of the patients and staff of an institution for the criminally insane .', 'Returning cast members from the previous season of the series include : Frances Conroy , Jessica Lange , Dylan McDermott , Sarah Paulson , Evan Peters , Zachary Quinto , and Lily Rabe .', 'The third season , subtitled Coven , takes place in New Orleans , Louisiana , during the year 2013 and follows a coven of witches who face off against those who wish to destroy them .', 'Returning cast members from the previous season of the series include : Robin Bartlett , Frances Conroy , Jessica Lange , Sarah Paulson , Evan Peters , and Lily Rabe .']"
11734,VERIFIABLE,SUPPORTS,Olivia Wilde is an actress.,"['Olivia Wilde -LRB- born Olivia Jane Cockburn ; March 10 , 1984 -RRB- is an American actress , model , director , and producer .', ""She is well known for her role as Dr. Remy `` Thirteen '' Hadley on the award-winning medical television series House -LRB- 2007 -- 12 -RRB- and her roles in Alpha Dog -LRB- 2007 -RRB- , Tron : Legacy -LRB- 2010 -RRB- , Cowboys & Aliens -LRB- 2011 -RRB- , Her -LRB- 2013 -RRB- , Drinking Buddies -LRB- 2013 -RRB- , and Rush -LRB- 2013 -RRB- .""]"
89556,VERIFIABLE,REFUTES,Page Hamilton is only a composer.,"['Page Hamilton -LRB- born May 18 , 1960 -RRB- is an American guitarist , singer , songwriter and record producer , mostly noted for his work with alternative metal band Helmet .', 'Page Hamilton -LRB- born May 18 , 1960 -RRB- is an American guitarist , singer , songwriter and record producer , mostly noted for his work with alternative metal band Helmet .', 'Page Hamilton -LRB- born May 18 , 1960 -RRB- is an American guitarist , singer , songwriter and record producer , mostly noted for his work with alternative metal band Helmet .', 'Most of his work has been in the hard rock and alternative metal styles , though he trained in jazz guitar and has substantial connections with avant-garde music and film soundtrack composition .', 'Page Hamilton -LRB- born May 18 , 1960 -RRB- is an American guitarist , singer , songwriter and record producer , mostly noted for his work with alternative metal band Helmet .', 'Page Hamilton -LRB- born May 18 , 1960 -RRB- is an American guitarist , singer , songwriter and record producer , mostly noted for his work with alternative metal band Helmet .', 'Most of his work has been in the hard rock and alternative metal styles , though he trained in jazz guitar and has substantial connections with avant-garde music and film soundtrack composition .']"
194045,VERIFIABLE,SUPPORTS,John Krasinski is included in Duane Hopwood.,"['Duane Hopwood is a 2005 film featured in the Sundance Film Festival starring David Schwimmer and Janeane Garofalo , with a supporting cast featuring Judah Friedlander , Dick Cavett , Susan Lynch , John Krasinski , Rachel Covey , and Mia Dillon .']"
11746,NOT VERIFIABLE,NOT ENOUGH INFO,Game of Thrones had multiple actors with nominations for job promotions.,[]
181286,VERIFIABLE,REFUTES,Armadillo World Headquarters was located in California.,"['Armadillo World Headquarters -LRB- sometimes called simply The ` Dillo -RRB- was a music venue and nightclub located in Austin , Texas from 1970 to 1980 .']"
24293,VERIFIABLE,SUPPORTS,Ulysses S. Grant fought against the commander of the Confederate Army.,"[""Grant confronted Robert E. Lee in a series of bloody battles , trapping Lee 's army in their defense of Richmond .""]"
176541,VERIFIABLE,SUPPORTS,Sunrise created an anime.,"['Anime created by Sunrise that have won the Animage Anime Grand Prix prize are Mobile Suit Gundam in 1979 and the first half of 1980 , Space Runaway Ideon in the second half of 1980 , Crusher Joe -LRB- co-production with Studio Nue -RRB- in 1983 , Dirty Pair in 1985 , Future GPX Cyber Formula in 1991 , Gundam SEED in 2002 , Gundam SEED Destiny in 2004 and 2005 , Code Geass : Lelouch of the Rebellion in 2006 and 2007 and Code Geass R2 in 2008 , thus making Sunrise as the studio that won the most number of Animage Awards .']"
156608,NOT VERIFIABLE,NOT ENOUGH INFO,Demi Moore helped to fund an American daytime television medical drama.,[]
101804,VERIFIABLE,SUPPORTS,Gwen Stefani released an album.,"[""She is the co-founder and lead vocalist of the band No Doubt that experienced major success after their breakthrough studio album Tragic Kingdom -LRB- 1995 -RRB- along with various successful singles , including `` Just a Girl '' , `` Do n't Speak '' , `` Hey Baby '' , and `` It 's My Life '' ."", 'In 2006 Stefani released her second studio album The Sweet Escape .', ""During the band 's hiatus , Stefani embarked on a solo pop career in 2004 by releasing her debut studio album Love ."", ""She is the co-founder and lead vocalist of the band No Doubt that experienced major success after their breakthrough studio album Tragic Kingdom -LRB- 1995 -RRB- along with various successful singles , including `` Just a Girl '' , `` Do n't Speak '' , `` Hey Baby '' , and `` It 's My Life '' ."", 'In 2006 Stefani released her second studio album The Sweet Escape .', 'Her third solo album This Is What the Truth Feels Like was released in March 2016 and became her first solo number-one album on the Billboard 200 .', ""She is the co-founder and lead vocalist of the band No Doubt that experienced major success after their breakthrough studio album Tragic Kingdom -LRB- 1995 -RRB- along with various successful singles , including `` Just a Girl '' , `` Do n't Speak '' , `` Hey Baby '' , and `` It 's My Life '' ."", ""During the band 's hiatus , Stefani embarked on a solo pop career in 2004 by releasing her debut studio album Love ."", "", `` Rich Girl '' , and `` Hollaback Girl '' , the latter reached number one on the Billboard Hot 100 while also becoming the first US download to sell one million copies ."", ""`` Rich Girl '' is a song by American singer and songwriter Gwen Stefani from her debut solo studio album , Love ."", 'In 2006 Stefani released her second studio album The Sweet Escape .', ""The album produced two successful singles : `` Wind It Up '' and the album 's title track `` The Sweet Escape '' ."", ""`` Wind It Up '' is a song by American singer and songwriter Gwen Stefani ."", ""Originally written for inclusion on Stefani 's Harajuku Lovers Tour , the song was later recorded for her second solo studio album , The Sweet Escape -LRB- 2006 -RRB- ."", 'Her third solo album This Is What the Truth Feels Like was released in March 2016 and became her first solo number-one album on the Billboard 200 .', ""During the band 's hiatus , Stefani embarked on a solo pop career in 2004 by releasing her debut studio album Love ."", 'In 2006 Stefani released her second studio album The Sweet Escape .', 'Her third solo album This Is What the Truth Feels Like was released in March 2016 and became her first solo number-one album on the Billboard 200 .', ""During the band 's hiatus , Stefani embarked on a solo pop career in 2004 by releasing her debut studio album Love ."", 'In 2006 Stefani released her second studio album The Sweet Escape .', 'Her third solo album This Is What the Truth Feels Like was released in March 2016 and became her first solo number-one album on the Billboard 200 .']"
227687,VERIFIABLE,REFUTES,Harmanpreet Kaur is Irish.,"[""Harmanpreet Kaur -LRB- ਹਰਮਨਪ੍ਰੀਤ ਕੌਰ born 8 March 1989 , Moga , Punjab -RRB- is an Indian cricketer who has played in 2 Tests , 49 women 's one-day internationals and 53 Twenty20 internationals for India .""]"
118683,VERIFIABLE,REFUTES,Tim Henman refuses to play tennis.,"[""Timothy Henry `` Tim '' Henman -LRB- born 6 September 1974 -RRB- is a retired English professional tennis player ."", 'Also , he scored 40 wins and 14 losses with the Great Britain Davis Cup team .', 'Henman never reached the finals of any Grand Slam but reached six Grand Slam semifinals and won 15 career ATP titles -LRB- 11 in singles and four in doubles -RRB- , including the Paris Masters in 2003 .', ""He is one of Britain 's most successful open era male tennis players , winning $ 11,635,542 prize money .""]"
123987,VERIFIABLE,REFUTES,Man of Steel is only a comic.,['Man of Steel is a 2013 superhero film featuring the DC Comics character Superman .']
172532,VERIFIABLE,SUPPORTS,Game of Thrones has won the Primetime Emmy Award for Outstanding Drama Series.,"['The series has received 38 Primetime Emmy Awards , including Outstanding Drama Series in 2015 and 2016 , more than any other primetime scripted television series .']"
52363,NOT VERIFIABLE,NOT ENOUGH INFO,Joseph Gordon-Levitt has gone ice-fishing with Oliver Stone.,[]
11168,VERIFIABLE,SUPPORTS,Sherlock (TV series) is based on stories by a British writer.,"[""Sherlock is a crime drama television series based on Sir Arthur Conan Doyle 's Sherlock Holmes detective stories ."", 'Sir Arthur Ignatius Conan Doyle KStJ , DL -LRB- 22 May 1859 -- 7 July 1930 -RRB- was a British writer best known for his detective fiction featuring the character Sherlock Holmes .']"
22790,VERIFIABLE,SUPPORTS,The Statue of Liberty is in Upper New York Bay.,"['The Statue of Liberty -LRB- Liberty Enlightening the World ; -LSB- La Liberté éclairant le monde , links = no -RSB- -RRB- is a colossal neoclassical sculpture on Liberty Island in New York Harbor in New York City , in the United States .', 'Liberty Island is a federally owned island in Upper New York Bay in the United States , best known as the location of the Statue of Liberty .', 'New York Harbor , part of the Port of New York and New Jersey , is at the mouth of the Hudson River where it empties into New York Bay and into the Atlantic Ocean at the East Coast of the United States .']"
47530,VERIFIABLE,SUPPORTS,Solange Knowles has a car called Solo Star.,"['At age 16 , Knowles released her first studio album Solo Star -LRB- 2002 -RRB- .']"
163436,VERIFIABLE,SUPPORTS,Tom Morello toured with an American.,"['Morello was also a touring musician with Bruce Springsteen and the E Street Band .', 'Bruce Frederick Joseph Springsteen -LRB- born September 23 , 1949 -RRB- is an American singer-songwriter .']"
154202,VERIFIABLE,SUPPORTS,The criticism of Destiny was mainly derived from the game's storyline and post-campaign content.,"[""Upon its release , Destiny received mixed to positive reviews with criticism centered mostly around the game 's storyline and post-campaign content ."", ""Upon its release , Destiny received mixed to positive reviews with criticism centered mostly around the game 's storyline and post-campaign content ."", ""Upon its release , Destiny received mixed to positive reviews with criticism centered mostly around the game 's storyline and post-campaign content ."", ""Upon its release , Destiny received mixed to positive reviews with criticism centered mostly around the game 's storyline and post-campaign content ."", ""Upon its release , Destiny received mixed to positive reviews with criticism centered mostly around the game 's storyline and post-campaign content .""]"
13317,VERIFIABLE,SUPPORTS,Pacific Rim was released in a format.,"['It was released on July 12 , 2013 , including in 3D and IMAX 3D , receiving generally positive reviews ; the visual effects , action sequences and the nostalgic style were highly praised .']"
30054,VERIFIABLE,SUPPORTS,Stephen Hawking has been paralyzed.,"['Hawking has a rare early-onset , slow-progressing form of amyotrophic lateral sclerosis -LRB- ALS -RRB- that has gradually paralysed him over the decades .']"
2668,VERIFIABLE,REFUTES,Leighton Meester is only German.,"['Leighton Marissa Meester -LRB- born April 9 , 1986 -RRB- is an American actress , singer-songwriter and model .']"
170061,VERIFIABLE,SUPPORTS,David Beckham has at least one middle name of Joseph.,"['David Robert Joseph Beckham , -LRB- -LSB- ˈbɛkəm -RSB- born 2 May 1975 -RRB- is an English former professional footballer .']"
82777,VERIFIABLE,REFUTES,Louis Tomlinson is not an actor.,"['Louis William Tomlinson -LRB- born Louis Troy Austin ; 24 December 1991 -RRB- is an English singer-songwriter and actor .', 'He also went on to appear in another ITV drama film If I Had You and the BBC drama Waterloo Road .', 'Tomlinson began his career as an actor , initially appearing in ITV drama Fat Friends as an extra .']"
95468,NOT VERIFIABLE,NOT ENOUGH INFO,Bill Gates was the largest individual donor to Microsoft.,[]
77555,NOT VERIFIABLE,NOT ENOUGH INFO,Seattle is a beautiful city.,[]
171751,VERIFIABLE,SUPPORTS,Rob Cavallo has worked with Phil Collins.,"['Primarily known for his production work with Green Day , he has also worked with Linkin Park , My Chemical Romance , Eric Clapton , the Goo Goo Dolls , the Dave Matthews Band , Kid Rock , Alanis Morissette , Black Sabbath , Phil Collins , Paramore and Meat Loaf .']"
89498,VERIFIABLE,SUPPORTS,Lance Armstrong raced as part of Team Radio Shack for several years.,"['Between 2010 and 2011 , he raced with Team Radio Shack , the UCI ProTeam he helped found .', 'Between 2010 and 2011 , he raced with Team Radio Shack , the UCI ProTeam he helped found .', 'Between 2010 and 2011 , he raced with Team Radio Shack , the UCI ProTeam he helped found .']"
52484,NOT VERIFIABLE,NOT ENOUGH INFO,Taipei is the richest capital of Taiwan.,[]
23499,NOT VERIFIABLE,NOT ENOUGH INFO,Jimmy Wales was born in a hospital.,[]
141373,VERIFIABLE,SUPPORTS,Notes on a Scandal has a soundtrack composed by Philip Glass.,['The soundtrack was composed by Philip Glass .']
218708,VERIFIABLE,REFUTES,Chris Hemsworth only starred in Snow White and the Huntsman.,"['Hemsworth has also appeared in the science fiction action film Star Trek -LRB- 2009 -RRB- , the thriller adventure A Perfect Getaway -LRB- 2009 -RRB- , the horror comedy The Cabin in the Woods -LRB- 2012 -RRB- , the dark-fantasy action film Snow White and the Huntsman -LRB- 2012 -RRB- , the war film Red Dawn -LRB- 2012 -RRB- , and the biographical sports drama film Rush -LRB- 2013 -RRB- .']"
16655,VERIFIABLE,SUPPORTS,Music includes jazz.,"['Music ranges from strictly organized compositions -- such as Classical music symphonies from the 1700s and 1800s , through to spontaneously played improvisational music such as jazz , and avant-garde styles of chance-based contemporary music from the 20th and 21st centuries .', 'The music industry includes the individuals who create new songs and musical pieces -LRB- such as songwriters and composers -RRB- , individuals who perform music -LRB- which include orchestra , jazz band and rock band musicians , singers and conductors -RRB- , individuals who record music -LRB- music producers and sound engineers -RRB- , individuals who organize concert tours , and individuals who sell recordings and sheet music and scores to customers .', 'Jazz is a music genre that originated in African American communities of New Orleans , United States , in the late 19th and early 20th centuries , and developed from roots in blues and ragtime .', ""Indeed , throughout history , some new forms or styles of music have been criticized as `` not being music '' , including Beethoven 's Grosse Fuge string quartet in 1825 , early jazz in the beginning of the 1900s and hardcore punk in the 1980s ."", 'Jazz is a music genre that originated in African American communities of New Orleans , United States , in the late 19th and early 20th centuries , and developed from roots in blues and ragtime .']"
160385,VERIFIABLE,SUPPORTS,Reviewers found Divergent unoriginal.,"['Reviewers found the film to be generic and unoriginal , comparing it unfavorably to other young adult fiction adaptations .']"
40412,VERIFIABLE,REFUTES,Code Geass has been adapted into manga.,"[', often referred to as simply Code Geass , is a Japanese anime series created by Sunrise , directed by Gorō Taniguchi , and written by Ichirō Ōkouchi , with original character designs by manga authors Clamp .']"
193225,VERIFIABLE,SUPPORTS,"Prussian Academy of Sciences was established on July 11th, 1700.","[""The Royal Prussian Academy of Sciences -LRB- Königlich-Preußische Akademie der Wissenschaften -RRB- was an academy established in Berlin , Germany on 11 July 1700 , four years after the Akademie der Künste , or `` Arts Academy , '' to which `` Berlin Academy '' may also refer .""]"
69038,VERIFIABLE,SUPPORTS,Spain has land in Africa.,"['Spain -LRB- España -LSB- esˈpaɲa -RSB- -RRB- , officially the Kingdom of Spain -LRB- -LSB- Reino de España , links = no -RSB- -RRB- , is a sovereign state located on the Iberian Peninsula in southwestern Europe , with two large archipelagoes , the Balearic Islands in the Mediterranean Sea and the Canary Islands off the North African Atlantic coast , two cities Ceuta and Melilla in the North African mainland and several small islands in the Alboran Sea near the Moroccan coast .']"
76730,NOT VERIFIABLE,NOT ENOUGH INFO,Tom Felton was in a 2011 action film.,[]
88662,NOT VERIFIABLE,NOT ENOUGH INFO,Paul McCartney is a 21-time Grammy Award winner as of 2004.,[]
125952,VERIFIABLE,REFUTES,Taylor Kitsch was not born in the 1980s.,"['Taylor Kitsch -LRB- born April 8 , 1981 -RRB- is a Canadian actor and model .']"
44521,NOT VERIFIABLE,NOT ENOUGH INFO,Tyrion Lannister is in the series His Dark Materials.,[]
109879,VERIFIABLE,SUPPORTS,"Lion is a biographical film, released in 2016.","['Lion is a 2016 biographical film directed by Garth Davis -LRB- in his feature debut -RRB- and written by Luke Davies , based on the non-fiction book A Long Way Home by Saroo Brierley with Larry Buttrose .']"
118460,VERIFIABLE,REFUTES,Noam Chomsky refused to study philosophy.,"['Avram Noam Chomsky -LRB- -LSB- æ ` vrɑːm _ ` noʊm_ˈtʃɒmski -RSB- ; born December 7 , 1928 -RRB- is an American linguist , philosopher , cognitive scientist , historian , social critic , and political activist .', ""Sometimes described as `` the father of modern linguistics '' , Chomsky is also a major figure in analytic philosophy and one of the founders of the field of cognitive science ."", 'At the age of sixteen he began studies at the University of Pennsylvania , taking courses in linguistics , mathematics , and philosophy .']"
82143,NOT VERIFIABLE,NOT ENOUGH INFO,Dwight D. Eisenhower was an athlete.,[]
195714,NOT VERIFIABLE,NOT ENOUGH INFO,A Nightmare on Elm Street stars Justin Trudeau.,[]
161952,VERIFIABLE,SUPPORTS,One of All About Eve's 6 awards was Best Picture.,"['Praised by critics at the time of its release , All About Eve received 14 Academy Awards nominations -LRB- a feat only matched by the 1997 film Titanic and the 2016 film La La Land -RRB- and won six , including Best Picture .']"
42985,VERIFIABLE,SUPPORTS,Rihanna is one of the best-selling singers of all time.,"['With sales exceeding 230 million records worldwide , Rihanna is one of the best-selling artists of all time .']"
96028,NOT VERIFIABLE,NOT ENOUGH INFO,In the Heart of the Sea was released in cinemas.,[]
145029,VERIFIABLE,SUPPORTS,"Rainn Wilson went to school in Seattle, Washington.","['A native of Seattle , Washington , Wilson began acting in college at the University of Washington , and later worked in theatre in New York City after graduating in 1986 .', ""The University of Washington , commonly referred to as simply Washington , UW , or informally `` U-Dub , '' is a public research university whose largest and original campus is in Seattle , Washington , United States .""]"
185051,VERIFIABLE,REFUTES,Saskatchewan is bordered only by sea to the west.,"['Saskatchewan is bordered on the west by Alberta , on the north by the Northwest Territories , on the east by Manitoba , to the northeast by Nunavut , and on the south by the U.S. states of Montana and North Dakota .', 'Alberta -LRB- -LSB- ælˈbɜrtə -RSB- -RRB- is a western province of Canada .']"
82689,VERIFIABLE,SUPPORTS,Billy Ray Cyrus co-starred on a musical series in 2011.,"['From 2006 to 2011 , he co-starred in the Disney Channel series Hannah Montana with his daughter Miley Cyrus .', ""Hannah Montana , also known as Hannah Montana Forever in its fourth and final season , is an American musical comedy television series created by Michael Poryes , Rich Correll , and Barry O'Brien .""]"
105428,VERIFIABLE,SUPPORTS,Marie Antoinette is a parent.,"['After eight years of marriage , Marie Antoinette gave birth to a daughter , Marie-Thérèse Charlotte , the first of her four children .']"
228875,NOT VERIFIABLE,NOT ENOUGH INFO,"Drama school offers a Bachelor of Arts, Bachelor of Fine Arts, or, occasionally, Bachelor of Science or Bachelor of Design. Graduate students may take a Master of Arts, Master of Science, Master of Fine Arts, Doctor of Arts, Doctor of Fine Arts, or Doctor of Philosophy degree.",[]
